Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network ,Instance,Time w Cuts,Objective w Cuts
1,149,221,2,0.04,0.01,6,RN_6_2_0.04_0.01,1740.99,90950.43
2,149,221,2,0.04,0.04,6,RN_6_2_0.04_0.04,2817.07,90888.24
3,149,221,2,0.06,0.01,6,RN_6_2_0.06_0.01,1268.91,90512.91
4,149,221,2,0.06,0.04,6,RN_6_2_0.06_0.04,1909.35,90465.48
5,149,221,6,0.04,0.01,6,RN_6_6_0.04_0.01,5386.87,38161.38
6,149,221,6,0.04,0.04,6,RN_6_6_0.04_0.04,11065.97,37970.34
7,149,221,6,0.06,0.01,6,RN_6_6_0.06_0.01,1889.04,37829.83
8,149,221,6,0.06,0.04,6,RN_6_6_0.06_0.04,5497.61,37522.68
9,158,201,2,0.04,0.01,8,RN_8_2_0.04_0.01,522.44,101113.32
10,158,201,2,0.04,0.04,8,RN_8_2_0.04_0.04,1133.34,101113.32
11,158,201,2,0.06,0.01,8,RN_8_2_0.06_0.01,399.45,99668.12
12,158,201,2,0.06,0.04,8,RN_8_2_0.06_0.04,813.07,99668.12
13,158,201,6,0.04,0.01,8,RN_8_6_0.04_0.01,829.19,49703.95
14,158,201,6,0.04,0.04,8,RN_8_6_0.04_0.04,426.94,49463.11
15,158,201,6,0.06,0.01,8,RN_8_6_0.06_0.01,732.85,49284.92
16,158,201,6,0.06,0.04,8,RN_8_6_0.06_0.04,370.09,49124.31
17,171,240,2,0.04,0.01,9,RN_9_2_0.04_0.01,1821.7,118741.72
18,171,240,2,0.04,0.04,9,RN_9_2_0.04_0.04,3548.91,118508.93
19,171,240,2,0.06,0.01,9,RN_9_2_0.06_0.01,1481.13,118084.25
20,171,240,2,0.06,0.04,9,RN_9_2_0.06_0.04,2430.83,117715.94
21,171,240,6,0.04,0.01,9,RN_9_6_0.04_0.01,1656.79,58753.03
22,171,240,6,0.04,0.04,9,RN_9_6_0.04_0.04,1072.27,57912.87
23,171,240,6,0.06,0.01,9,RN_9_6_0.06_0.01,4249.78,58567.03
24,171,240,6,0.06,0.04,9,RN_9_6_0.06_0.04,992.62,57612.18
