Time (empty),Time 1,"Time 1,2a","Time 1,2b"
48.73,26.71,21.47,43.17
28.55,25.34,10.87,26.67
46.09,35.7,28.42,29.77
52.94,38.81,15.56,32.57
36.17,18.91,10.75,10.5
24.72,11.9,10.52,16.97
25.65,8.67,14.1,30.39
36.86,12.99,9.55,11.11
39.16,16.51,9.69,13.27
37.97,12.41,16.71,9.94
20.6,9.48,7.86,7.38
24.93,4.25,8.12,10.94
25.26,7.19,16.1,7.69
51.88,11.19,10.51,8.74
34.25,13.53,9.33,11.17
22.19,31.83,35.26,14.26
22.4,24.82,27.53,13.72
39.36,15.74,15.55,9.23
31.38,15.7,22.29,19
34.06,11.33,25.54,16.25
20.19,21.46,32.9,16.64
21.92,18.61,26.45,20.22
18.04,6.01,20.81,4.71
17.25,27.84,14.15,21.8
20.52,11.67,17.73,13.91
80.49,50.2,54.58,47.05
81.25,53.6,60.49,47.11
124.93,73.08,66.57,79.99
130.56,51.82,58.91,71.56
112.58,30.42,32.11,37.39
63.36,36.15,41.94,38.7
57.79,26.53,20.78,24.61
96.59,49.3,48.81,47.96
71.67,20.69,44.55,38.5
75.32,31.32,25.57,25.54
95.34,47.09,29.78,32.67
70.14,45.32,52.13,26.57
82.33,20.25,40.11,33.5
134.22,63.85,72.81,66.9
43.68,19.23,18.56,20.78
79.58,68.43,58.52,64.19
94.17,22.06,24.23,23.12
71.68,36.13,43.35,32.21
71.16,23.8,17.21,21.92
66.14,21.68,24.88,27.49
35.74,23.75,34.92,17.24
38.12,22.16,29.38,16.33
37.01,18.5,16.16,18.9
33.61,23.08,9,11.54
47.27,17.05,9.46,11.8
42.44,48.57,42.21,66.28
67.77,42.71,35.52,49.31
79.6,73.33,76.95,68.33
82.01,54.57,84.32,46.67
116.69,40.45,46.9,37.9
123.11,247.85,138.99,245.24
73.93,37.02,24.14,33.09
51.1,20.2,16.87,32.5
73.83,33.33,46.4,29.79
106.52,48.15,24.1,34.77
77.91,19.02,30.28,17.95
61.06,28.26,41.23,24.27
78.77,33.86,31.88,23.25
74.16,30.31,16.4,30.31
46.55,21.76,8.6,16.16
106,33.7,35.72,33.99
51.52,32.19,37.05,20.4
49.71,8.54,11.61,7.62
36.21,11.94,14.67,8.73
35.93,8.46,22.4,12.26
67.82,35.53,31.01,22.61
70.88,76.79,42.08,16.14
36.21,27.01,59.5,45.76
19.79,13.79,25.15,15.35
30.18,26.57,33.01,34.19
123.36,80.98,86.32,111.52
144.56,85.17,100.66,82.33
143.2,99.42,93.94,125.33
168.03,81.84,97.95,95.21
97.69,94.29,78.39,84.11
89.29,44.39,55.54,51.5
70.27,47.46,36.9,42.82
99.2,45.21,54.71,34.46
84.28,37.23,42.64,54.6
100.07,47.23,46.23,48
122.79,39.96,41.73,38.4
142.96,43.2,40.9,53.25
55.49,18.03,31.01,20.15
56.9,29.35,28.47,21.64
69.45,19.88,22.04,19.45
132.88,30.01,35.18,47.81
113.29,43.81,37.76,27.02
97.03,23.01,40.33,34.88
75.94,23.01,19.32,20.85
78.99,25.75,22.84,23.37
73.77,34.42,24.04,37.05
87.99,34,29.25,20.22
72.36,22.63,40.68,36.08
75.78,32.46,27.54,25.76
104.47,29.36,21.41,34.81
41.08,31.15,25.04,29.72
51.94,27.98,32.78,34.46
110.85,17.84,29.8,37.38
87.73,26.76,25.83,28.46
45.41,57.85,30.04,34.69
73.68,35.68,54.97,29.08
42.7,29.51,81.18,72.69
85.13,53.94,31.89,39.08
87.1,37.24,30.45,45.64
94.74,20.57,21.33,26.29
40.2,23.83,19.53,15.43
148.59,135.89,131.71,155.66
27.88,11.88,12.01,7.76
25.1,16.08,4.83,14.96
43.7,5.51,19.19,27.87
77.82,46.21,54.97,32.56
80.47,48.86,51.46,33.58
565.67,466.49,549.46,540.99
31.42,17.4,19.08,16.79
44.59,15.75,28.64,21.21
83.44,76.99,21.22,25.51
90.29,86.92,21.37,22.69
310.74,382.1,560.77,471.22
44.18,29.53,54.37,27.4
32.9,31.37,31.42,17.1
130.24,104.29,111.76,101.53
117.33,93.95,107.5,100.79
173.37,97.27,151.23,104.92
166.42,111.07,119.19,105.79
243.94,104.13,125.19,87.17
170.17,85.19,78.93,85.68
167.98,64.97,61.54,73.45
323.79,286.39,291.96,352.15
113.98,52.25,76.71,59.78
210.81,77.37,90.09,39.89
151.3,187.74,146.43,115.56
169.44,130.11,121.47,123.35
159.16,48.76,56.13,49.44
101.73,37.95,37.53,35.99
118.27,28.35,34.99,35.81
93.54,43.04,48.38,58.86
69.68,82.88,57.43,45.71
123.73,35.28,37.36,26.75
81.44,24.93,24.77,21.02
114.51,26.9,28.28,30.61
148.9,33.61,121.17,77.32
72.73,29.84,34.02,32.8
88.42,42.01,49.72,31.8
71.71,50.87,37.57,24.5
71.38,17.91,24.47,27.39
190.57,152.2,117.39,121.34
218.81,139.69,142.25,137.8
201.25,139.33,116.04,89.93
208.7,105.86,132.33,93.55
336.82,111.2,116.34,104.76
181.68,94.78,88.11,102.81
176.77,63.8,96.79,105.57
139.62,68.02,49.62,65.24
146.68,82.12,65.82,69.21
187.18,92.15,79.14,67.16
82.65,32.69,36.9,55
105.16,36.78,42.85,36.22
125.2,40.03,56.97,60.3
105.63,46.23,49.73,31.68
177.79,51.27,40.7,36.77
103.33,125.37,37.79,42.34
103.23,82.8,103.93,52.59
101.17,91.88,98.27,44.08
89.81,34.12,30.37,28.47
107.04,39.41,43.63,34.09
128.21,57.78,113.75,52.32
105.19,56.96,51.88,58.66
117.46,48.06,60.26,57.95
128.99,31.58,61.25,48.33
154.24,42.37,35.55,34.35
113.06,67.26,84.5,60.16
139.51,81.29,49.65,57.05
146.02,67.27,69.89,75.54
162.51,81.92,69.08,101.32
138.19,59.88,63.05,69.19
754.77,147.52,225.74,69.47
149.48,67.73,55.4,70.95
83.62,30.51,45.86,52.01
81.32,33.16,39.79,36.85
216.89,55.31,45.6,58.58
228.01,50.76,32.35,32.75
225,53.72,34.45,35.3
93.08,44.89,49.8,38.48
57.37,52.41,48.77,50.8
139.66,31.33,33.43,37.15
382.96,203.57,210.03,221.49
460.15,264.79,265.19,265.47
193.57,75.79,144.91,110.08
104.15,25.73,28.05,36.64
114.93,28.38,37.34,34.66
127.17,106.96,85.87,89.97
106.45,36.14,55.55,41.23
82.15,36.63,39.61,35.6
74.25,47.98,27.17,20.94
75.28,33.34,23.69,21.54
247.52,141.03,137.6,121.64
188.9,97.78,118.29,118.88
226.67,145.93,146.34,106.61
250.12,100.29,85.28,92.71
174.73,131.23,109.89,124.17
136.06,57.93,94.63,62.09
129.76,49.13,44.75,58.88
175.64,54.8,63.13,56.8
172.39,61.54,78.35,56.17
280.56,76.32,76.21,60.34
123.77,36.25,35.03,165.12
150.4,165.19,100.02,86.59
139.46,67.88,49.21,46.26
110.03,29.25,27.93,35.31
139.73,35.75,37.4,35.57
187.55,48.98,42.14,52.5
149.79,42.91,59.84,52.26
132.21,39.34,40.91,36.18
211.58,35.89,56.57,40.93
120.5,37.27,31.28,29.05
127.6,70.33,44.86,93.65
120.89,50.35,43.8,37.34
110.2,79.07,39.78,106.18
114.03,38.25,43.91,32.9
112.67,46.26,42.77,31.81
476.36,348.93,383.7,388.12
472.89,287.73,392.2,368.39
529.39,338.83,358.15,380.05
591.31,331.38,355.87,345.76
951.17,237.51,256.49,268.03
480.83,223.92,245.1,244.44
323.83,184.31,196.61,189.83
472.26,227.79,205.06,211.13
504.11,213.43,245.2,205.63
765.88,273.34,195.62,207.29
958.93,237.22,217.21,466.67
518.2,506.33,503.75,475.36
541.32,211.17,204.48,184.66
487.77,227.76,167.06,160.79
445.45,155.2,116.57,109.41
454.13,174.61,135.63,133.99
303.86,143.87,186.12,106.99
275.7,97.88,87.9,124.43
298.9,110.78,88.2,80.12
397.64,117.95,85.15,90.07
17656.9,1974.15,575.32,552.04
2795.24,1002.39,383.52,331.52
1286.38,408.74,316.6,236.83
316.15,113.04,104.85,102.02
262.34,72.09,57.04,73.28
4375.36,1949.75,1622.19,1646.96
4415.19,1838.56,1660.07,1929.49
5102.58,1927.71,1740.69,1950.98
8916.63,1968.2,1616.57,1880.05
18905.23,4240.64,2099,5322.69
1312.87,524.77,624.51,606.81
1284.45,504.49,611.83,638.73
1729.76,504.38,645.86,632.15
2070.22,570.46,586.01,703.09
3433.93,708.9,632.81,663.86
1589.8,660.95,583.54,641.27
1456.64,570.26,753.98,666.79
4147.53,3117.64,2147.71,3350.74
1848.63,539.52,505.03,536.13
3148.39,690.15,550.04,680.37
862.27,293.75,324.95,417.99
725.93,312.29,222.26,263.11
852.97,318.55,307.39,330.56
767.61,247.42,267.18,222.73
1499.63,233.28,280.77,246.93
3585.91,1204.08,1425.46,1172.5
592.15,212.21,204.44,162.48
660.21,221.74,172.96,197.44
645.46,230.45,224.17,221.07
1068.19,218.37,215.19,235.29
21491.45,8036.39,7072.78,5834.76
17597.88,6497.38,7588.9,6460.15
11012.53,3415.66,3721.62,4395.03
7127.33,3923.26,4378.47,5055.88
40526.04,5104.81,4985.07,4533.43
14337.69,5218.97,4864.27,4846.23
5655.73,1934.54,2315.25,2190.73
5129.1,2353.77,2233.68,2517.61
,,,
,,,
